Team,Opponent,Year,Week,Home Team,Spread,Game Scoring Margin,Line For Rating,Line Against Rating,Rushing For Rating,Rushing Against Rating,Passing For Rating,Passing Against Rating,Opp Line For Rating,Opp Line Against Rating,Opp Rushing For Rating,Opp Rushing Against Rating,Opp Passing For Rating,Opp Passing Against Rating,Team DVOA,DVOA Diff,EGO,EGO to Spread Diff,EGO to Score Diff,EGO Pick,Right Pick,Wrong Pick,Spread to Result Difference,Spread Result Class
ARI,SEA,2006,2,0,7.0,-11,11.0,67.0,26.0,64.0,90.0,9.0,33.0,44.0,29.0,95.0,49.0,36.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-4.0,-1
ATL,TAM,2006,2,1,-4.5,11,44.0,89.0,100.0,83.0,34.0,60.0,11.0,67.0,0.0,66.0,28.0,53.0,0.0,0.0,0.0,0.0,0.0,0,0,0,6.5,1
BAL,OAK,2006,2,1,-13.0,22,33.0,89.0,34.0,100.0,47.0,72.0,0.0,0.0,27.0,26.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0,0,0,9.0,1
BUF,MIA,2006,2,0,6.5,10,33.0,67.0,32.0,31.0,37.0,65.0,33.0,67.0,5.0,47.0,74.0,43.0,0.0,0.0,0.0,0.0,0.0,0,0,0,16.5,1
CAR,MIN,2006,2,0,2.0,-3,11.0,56.0,17.0,0.0,40.0,66.0,0.0,89.0,27.0,66.0,67.0,55.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-1.0,-1
CHI,DET,2006,2,1,-7.0,27,33.0,89.0,37.0,66.0,78.0,55.0,56.0,67.0,5.0,71.0,64.0,51.0,0.0,0.0,0.0,0.0,0.0,0,0,0,20.0,1
CIN,CLE,2006,2,1,-10.5,17,78.0,89.0,40.0,62.0,29.0,50.0,0.0,44.0,26.0,42.0,22.0,52.0,0.0,0.0,0.0,0.0,0.0,0,0,0,6.5,1
CLE,CIN,2006,2,0,10.5,-17,0.0,44.0,26.0,42.0,22.0,52.0,78.0,89.0,40.0,62.0,29.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-6.5,-1
DAL,WAS,2006,2,1,-7.0,17,11.0,78.0,27.0,77.0,72.0,30.0,11.0,100.0,34.0,73.0,45.0,33.0,0.0,0.0,0.0,0.0,0.0,0,0,0,10.0,1
DEN,KAN,2006,2,1,-11.0,3,33.0,56.0,60.0,56.0,21.0,43.0,11.0,22.0,38.0,60.0,50.0,71.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-8.0,-1
DET,CHI,2006,2,0,7.0,-27,56.0,67.0,5.0,71.0,64.0,51.0,33.0,89.0,37.0,66.0,78.0,55.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-20.0,-1
GNB,NOR,2006,2,1,1.0,-7,11.0,67.0,34.0,63.0,45.0,22.0,56.0,100.0,58.0,74.0,48.0,78.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-6.0,-1
HOU,IND,2006,2,0,12.5,-19,11.0,44.0,19.0,54.0,48.0,0.0,0.0,89.0,13.0,29.0,86.0,24.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-6.5,-1
IND,HOU,2006,2,1,-12.5,19,0.0,89.0,13.0,29.0,86.0,24.0,11.0,44.0,19.0,54.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,6.5,1
JAX,PIT,2006,2,1,2.5,9,22.0,89.0,23.0,73.0,70.0,28.0,33.0,67.0,53.0,95.0,57.0,26.0,0.0,0.0,0.0,0.0,0.0,0,0,0,11.5,1
KAN,DEN,2006,2,0,11.0,-3,11.0,22.0,38.0,60.0,50.0,71.0,33.0,56.0,60.0,56.0,21.0,43.0,0.0,0.0,0.0,0.0,0.0,0,0,0,8.0,1
MIA,BUF,2006,2,1,-6.5,-10,33.0,67.0,5.0,47.0,74.0,43.0,33.0,67.0,32.0,31.0,37.0,65.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-16.5,-1
MIN,CAR,2006,2,1,-2.0,3,0.0,89.0,27.0,66.0,67.0,55.0,11.0,56.0,17.0,0.0,40.0,66.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,1
NOR,GNB,2006,2,0,-1.0,7,56.0,100.0,58.0,74.0,48.0,78.0,11.0,67.0,34.0,63.0,45.0,22.0,0.0,0.0,0.0,0.0,0.0,0,0,0,6.0,1
NWE,NYJ,2006,2,0,-6.0,7,33.0,67.0,69.0,68.0,35.0,63.0,22.0,78.0,29.0,73.0,97.0,26.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,1
NYG,PHI,2006,2,0,3.0,6,11.0,100.0,71.0,87.0,76.0,14.0,56.0,89.0,46.0,81.0,100.0,52.0,0.0,0.0,0.0,0.0,0.0,0,0,0,9.0,1
NYJ,NWE,2006,2,1,6.0,-7,22.0,78.0,29.0,73.0,97.0,26.0,33.0,67.0,69.0,68.0,35.0,63.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-1.0,-1
OAK,BAL,2006,2,0,13.0,-22,0.0,0.0,27.0,26.0,0.0,75.0,33.0,89.0,34.0,100.0,47.0,72.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-9.0,-1
PHI,NYG,2006,2,1,-3.0,-6,56.0,89.0,46.0,81.0,100.0,52.0,11.0,100.0,71.0,87.0,76.0,14.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-9.0,-1
PIT,JAX,2006,2,0,-2.5,-9,33.0,67.0,53.0,95.0,57.0,26.0,22.0,89.0,23.0,73.0,70.0,28.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-11.5,-1
SDG,TEN,2006,2,1,-12.0,33,100.0,100.0,74.0,73.0,25.0,100.0,22.0,78.0,27.0,71.0,74.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,21.0,1
SEA,ARI,2006,2,1,-7.0,11,33.0,44.0,29.0,95.0,49.0,36.0,11.0,67.0,26.0,64.0,90.0,9.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.0,1
