Team,Opponent,Year,Week,Home Team,Team DVOA,DVOA Diff,Line For Rating,Opp Line Against Rating,Opp Line Against Rating EGO Adj,Opp Line Against Rating Correlation,Line Against Rating,Opp Line For Rating,Opp Line For Rating EGO Adj,Opp Line For Rating Correlation,Rushing For Rating,Opp Rushing Against Rating,Opp Rushing Against Rating EGO Adj,Opp Rushing Against Rating Correlation,Rushing Against Rating,Opp Rushing For Rating,Opp Rushing For Rating EGO Adj,Opp Rushing For Rating Correlation,Passing For Rating,Opp Passing Against Rating,Opp Passing Against Rating EGO Adj,Opp Passing Against Rating Correlation,Passing Against Rating,Opp Passing For Rating,Opp Passing For Rating EGO Adj,Opp Passing For Rating Correlation,Spread,DVOA EGO Pick,DVOA Pick Right,DVOA EGO,DVOA EGO to Spread Diff,Total Matchup Strength,Scaled Matchup Strength,Matchup Adj EGO,Matchup Adj EGO to Spread Diff,Matchup Adj Game Pick,Matchup Adj Pick Rigt,Game Scoring Margin,Spread to Result Difference,Spread Result Class
ARI,ATL,2019,6,1,-21.9,-5.599999999999998,37.0,71.0,0.0,0.6578634822053677,33.0,0.0,1.809045347991272,0.7716981230457385,51.0,49.0,-5.4263254744105796,0.1742306042369944,33.0,11.0,0.0,0.00838729196926935,51.0,41.0,-4.179782156014733,0.5735780720061774,33.0,82.0,0.0,-0.3474592989615133,3.0,1,1,1.04,4.04,0.0,1.2573803719585284,2.2973803719585284,5.297380371958528,1,1,1,4.0,1
ATL,ARI,2019,6,0,-16.3,5.599999999999998,0.0,33.0,-15.386772093023266,-0.9641842678772484,71.0,37.0,0.0,0.8845456702398922,11.0,33.0,-5.348106351550956,-0.10946816210646436,49.0,51.0,0.0,0.2235394798468583,82.0,33.0,0.0,0.26231761234679873,41.0,51.0,0.0,0.0418763871012704,-3.0,-1,1,-1.04,-4.04,0.0,1.2573803719585284,0.21738037195852833,-2.7826196280414717,-1,1,-1,-4.0,-1
BAL,CIN,2019,6,1,14.6,54.4,21.0,37.0,-11.98892147901952,-0.4778292419302795,58.0,5.0,0.0,0.10810516461069558,95.0,7.0,0.0,-0.4913997109772963,76.0,6.0,0.0,0.5043765101553153,56.0,49.0,0.0,0.6181643706736482,27.0,60.0,-6.4655399751215565,-0.2631849466254279,-10.5,1,-1,12.76,2.26,0.0,1.2573803719585284,14.017380371958527,3.5173803719585273,1,-1,6,-4.5,-1
CAR,TAM,2019,6,0,3.4,1.0,79.0,45.0,0.0,0.2462334119991659,62.0,32.0,0.0,-0.3508109610185949,62.0,94.0,-3.859810964083177,0.7668410291634797,37.0,39.0,0.0,-0.7053717562961049,47.0,0.0,0.0,-0.7438116235103179,78.0,56.0,0.0,0.4838052192579648,-2.0,-1,-1,-1.97,-3.97,0.0,1.2573803719585284,-0.7126196280414716,-2.7126196280414714,-1,-1,11,9.0,1
CIN,BAL,2019,6,0,-39.8,-54.4,5.0,58.0,-1.9041748534003415,0.7742057591664266,37.0,21.0,0.0,0.9847666497916068,6.0,76.0,-4.313188185140069,-0.10699184104726106,7.0,95.0,-2.551593553078045,-0.26108394841033605,60.0,27.0,0.0,0.08848650214353182,49.0,56.0,0.0,-0.4261247534547163,10.5,-1,-1,-12.76,-2.26,0.0,1.2573803719585284,-11.502619628041472,-1.0026196280414723,-1,-1,-6,4.5,1
CLE,SEA,2019,6,1,-14.2,-26.8,58.0,66.0,4.169549921963974,0.767768969551518,54.0,26.0,0.0,0.8597604587781497,41.0,85.0,0.0,-0.15420849964113975,22.0,48.0,6.146733668341707,0.14223464087445173,47.0,33.0,15.385583297460173,0.86324089278715,72.0,63.0,1.9111923471130776,0.4601748391469178,-1.0,-1,1,-3.34,-4.34,0.0,1.2573803719585284,-2.0826196280414715,-3.0826196280414715,-1,1,-4,-5.0,-1
DAL,NYJ,2019,6,0,20.7,58.6,37.0,0.0,0.0,0.8069225234189041,96.0,13.0,4.919491201746009,0.8260595521809109,60.0,78.0,-11.839019445593712,0.5583803085749691,66.0,10.0,0.0,0.7607243908050739,82.0,39.0,0.0,0.9524981208415676,63.0,0.0,0.0,0.8717569137041363,-7.0,1,-1,10.16,3.16,0.0,1.2573803719585284,11.41738037195853,4.417380371958529,1,-1,-2,-9.0,-1
DEN,TEN,2019,6,1,-7.1,2.200000000000001,0.0,28.0,0.0,-0.14545484062513198,62.0,63.0,-0.39920544665569396,0.5965855581654951,45.0,63.0,0.0,0.04311398557785385,44.0,43.0,0.0,0.21282718371024006,48.0,59.0,0.0,-0.8486064507983132,75.0,32.0,0.0,-0.5914316040456109,-1.0,1,1,2.62,1.62,0.0,1.2573803719585284,3.8773803719585285,2.8773803719585285,1,1,16,15.0,1
DET,GNB,2019,6,0,7.5,-5.300000000000002,33.0,79.0,0.0,-0.12407702657428793,84.0,53.0,0.0,-0.9152789126992458,46.0,33.0,-2.2780074160811843,-0.9586622802137071,45.0,28.0,0.0,-0.9985858703848836,63.0,52.0,0.0,0.8689893594390974,26.0,54.0,4.702560169891454,0.8820017542664202,3.5,1,1,-3.25,0.25,0.0,1.2573803719585284,-1.9926196280414716,1.5073803719585284,1,1,-1,2.5,1
GNB,DET,2019,6,1,12.8,5.300000000000002,53.0,84.0,0.0,-0.17225367310216794,79.0,33.0,3.56,0.1858243264738718,28.0,45.0,10.265219512195113,0.668818383546939,33.0,46.0,0.0,-0.4209672068001163,54.0,26.0,0.0,-0.6751245042711526,52.0,63.0,6.5016874883460805,-0.6663448013029949,-3.5,-1,1,3.25,-0.25,11.197933178456971,3.4068519433157665,6.6568519433157665,3.1568519433157665,1,-1,1,-2.5,-1
